ID Provinsi,Nama Provinsi,ID Kota/Kabupaten,Nama Kota/Kabupaten,ID Kecamatan,Nama Kecamatan,ID Kelurahan/Desa,Nama Kelurahan/Desa,ID TPS,Nama TPS,DPT,DPTb,DPK,Paslon 01,Paslon 02,Paslon 03,Suara Sah,Suara Tidak Sah,Total Suara,Status,Gambar Formulir Model C.Hasil-PPWP ke-1,Gambar Formulir Model C.Hasil-PPWP ke-2,Gambar Formulir Model C.Hasil-PPWP ke-3
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001027,TPS 027,null,null,null,66,84,44,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/5daf/pemilu/ppwp/34/04/06/20/01/3404062001027-20240214-212258--e8053d21-cccd-4e09-96e9-8cfdad339943.jpg,https://sirekap-obj-formc.kpu.go.id/5daf/pemilu/ppwp/34/04/06/20/01/3404062001027-20240214-212315--adf1bda0-9ff8-43f4-8a44-18378af4a0a4.jpg,https://sirekap-obj-formc.kpu.go.id/5daf/pemilu/ppwp/34/04/06/20/01/3404062001027-20240214-212327--ddceb7cb-cf88-49b1-8dcd-640e2d9e4ee3.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001028,TPS 028,216,6,0,61,95,34,190,2,192,VALID,https://sirekap-obj-formc.kpu.go.id/131a/pemilu/ppwp/34/04/06/20/01/3404062001028-20240216-141641--05807329-60a7-4a47-b110-ce56f0b4478a.jpg,https://sirekap-obj-formc.kpu.go.id/131a/pemilu/ppwp/34/04/06/20/01/3404062001028-20240216-141643--0ab6de52-3d45-46d7-9b97-73bb0d9bf18c.jpg,https://sirekap-obj-formc.kpu.go.id/131a/pemilu/ppwp/34/04/06/20/01/3404062001028-20240216-141642--d4da5800-b00b-430d-bff1-ead6134290cb.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001029,TPS 029,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001030,TPS 030,204,9,0,26,90,56,172,0,172,VALID,https://sirekap-obj-formc.kpu.go.id/cb8b/pemilu/ppwp/34/04/06/20/01/3404062001030-20240217-172321--6940cb2d-0020-4bf2-8ef6-10fd35b448ab.jpg,https://sirekap-obj-formc.kpu.go.id/cb8b/pemilu/ppwp/34/04/06/20/01/3404062001030-20240217-172323--49e4ae58-7c84-45d9-9966-b45cdd0c5977.jpg,https://sirekap-obj-formc.kpu.go.id/cb8b/pemilu/ppwp/34/04/06/20/01/3404062001030-20240217-172322--5ce40510-0724-4148-9199-4614cebd7474.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001031,TPS 031,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001032,TPS 032,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001033,TPS 033,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001034,TPS 034,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001035,TPS 035,252,10,13,49,120,60,229,3,232,VALID,https://sirekap-obj-formc.kpu.go.id/a55a/pemilu/ppwp/34/04/06/20/01/3404062001035-20240214-155306--cfd9cd8f-8fd4-4e82-a379-a91efb747838.jpg,https://sirekap-obj-formc.kpu.go.id/a55a/pemilu/ppwp/34/04/06/20/01/3404062001035-20240214-160146--a709347a-3e48-44e4-a95d-1fcddb4a4148.jpg,https://sirekap-obj-formc.kpu.go.id/a55a/pemilu/ppwp/34/04/06/20/01/3404062001035-20240214-160058--21f765da-6c40-4bae-9cda-f4ffc16ce2db.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001036,TPS 036,286,6,5,52,107,94,253,8,261,VALID,https://sirekap-obj-formc.kpu.go.id/4fab/pemilu/ppwp/34/04/06/20/01/3404062001036-20240214-195857--027c9548-d8e1-4e42-82aa-d7895ae3d4ec.jpg,https://sirekap-obj-formc.kpu.go.id/4fab/pemilu/ppwp/34/04/06/20/01/3404062001036-20240214-190154--5bcd263e-9931-44cb-ac33-adb10bcc9e54.jpg,https://sirekap-obj-formc.kpu.go.id/4fab/pemilu/ppwp/34/04/06/20/01/3404062001036-20240214-190247--0ee32535-16a1-45a1-b496-397fde23b5a5.jpg
